index,time,dTLB-load-misses,L1-icache-load-misses,instructions:u,cache-misses:u,branch-misses:u,iTLB-load-misses,L1-dcache-load-misses,LLC-load-misses,dTLB-store-misses,cpu-cycles:u,branch-load-misses,LLC-store-misses,cpi
188,37.857561781,69756,45191,428744168,3856249,3899,2115,58144476,3814182,25,316822522,3910,3286,0.738954709233503
189,38.05783476,148150,20085,415374545,2016827,14128,1686,41790612,2329583,23113,316746415,16360,43545,0.762556152784952
190,38.258101584,43379,11169,384517620,2470221,7667,624,46445228,1898877,18568,316793055,9534,187760,0.823871361213564
191,38.458352061,33303,102994,455461687,2962113,7668,645,41159366,1892967,9360,317009499,5673,217911,0.696017926530887
192,38.658590933,16506,448876,484203600,1204148,2533,1314,40939455,887997,6062,317511221,2549,312549,0.655739075463297
193,38.858841784,16940,333417,481897840,1208818,1604,1176,41324350,915012,6031,317541442,1460,320365,0.658939334527833
194,39.059093012,16323,339174,471461719,1499650,1297,1154,40199909,1024247,6357,317723347,1289,397636,0.673911230107741
195,39.259352337,16754,343001,485658893,1210310,1342,682,41484763,902769,6158,317675685,1348,316354,0.654112772521598
196,39.459618886,22371,277453,470540201,1891631,1965,1343,45225891,1482363,5109,317547084,3429,277061,0.674856438036843
197,39.659854739,69583,34573,433167256,3885137,3809,1854,58701233,3847565,17,316747619,3813,4029,0.731236294093291
198,39.860114302,70692,37810,431771529,3879686,3864,1847,58919932,3870108,24,316825745,3854,3548,0.733781001572246
199,40.060357801,69764,35730,431372392,3871717,3855,1808,58716272,3872736,24,316882444,3828,2578,0.734591387573083
200,40.260614502,133625,13577,386258636,1569136,26786,284,37855438,736150,37437,316733654,37586,71492,0.820004071054608
201,40.460883936,39688,12308,450326339,3164253,5941,106,48177768,2957939,4111,316981381,6326,220975,0.703892607534111
202,40.661135508,36332,23833,505027177,1826238,6257,1359,37439652,2058282,3288,317393480,4593,322658,0.628468119053324
203,40.861378548,22379,24092,515876837,1461613,3667,2186,38562549,1340423,2977,317482957,3672,170504,0.615423942750118
204,41.061644153,40267,482476,446202681,1406086,2171,437,33590280,1201047,2901,316703787,2161,138106,0.709775625485316
205,41.261890273,22403,27429,516155977,1449355,2963,347,38931179,1277778,3008,317473915,1872,163481,0.615073600126111
206,41.462144592,20013,53220,307219639,1662539,49283,666,25369790,656605,310551,316644366,58749,589099,1.0306774886875
207,41.662387284,17396,384215,474778727,1311566,1351,200,40320500,1135230,6657,317311173,1357,361943,0.668334857808404
208,41.86263932,16606,368772,481203258,1292257,1329,232,41077122,956465,6073,317609029,1336,316172,0.660030919823905
209,42.06287565,16022,490870,478706804,1278662,2220,1567,40661693,970314,5901,317449476,2275,312814,0.66313967829043
