index,time,dTLB-load-misses,cache-misses:u,branch-load-misses,L1-icache-load-misses,branch-misses:u,L1-dcache-load-misses,dTLB-store-misses,iTLB-load-misses,LLC-store-misses,instructions:u,cpu-cycles:u,LLC-load-misses,cpi
155,31.230013139,151228,410312,5494275,231792,5538303,2293728,363,2057,122,850737545,515836868,396170,0.606340781633189
156,31.430215517,145156,406291,5412838,203547,5305780,2139869,352,2120,274,865853561,513197144,418560,0.592706627443206
157,31.630404878,162224,449452,5141927,213008,5320349,2170888,863,2186,628,810502167,510484133,430292,0.629836851503446
158,31.830596837,161798,446907,5726365,212014,5717029,2434322,525,2161,406,837820003,514027744,431685,0.613530044829927
159,32.030802932,156049,443658,5563744,210499,5513317,2330883,375,1876,394,843021454,514128734,409399,0.60986435346401
160,32.230991552,163179,418809,5612558,217664,5634194,2337793,425,1967,263,840715734,515468230,446525,0.6131302283918
161,32.431180426,143111,441696,5356569,256233,5271520,2333744,338,1869,366,815876984,515153782,424655,0.631411097631846
162,32.631389353,155288,442671,5496443,204696,5512264,2373900,779,1835,432,840685561,515322030,442395,0.612978328528709
163,32.831584454,149552,419949,5583026,192912,5618598,2405735,368,1901,71,862160463,514839264,410944,0.59715016646501
164,33.031771255,141980,436223,5444299,229623,5524203,2388010,378,2236,528,840045197,513936782,418488,0.611796584083082
165,33.23196973,147988,418395,5470630,231203,5397282,2286858,369,2214,325,853523683,514436459,409097,0.602720778867949
166,33.43217604,153306,410910,5460699,248589,5460668,2175227,325,2409,608,855372463,515407461,420784,0.602553254043671
167,33.63236919,150990,396306,5680830,258306,5769932,2225214,347,2204,366,851118208,514613753,414590,0.604632527142458
168,33.832575195,148786,387414,5719688,242176,5639251,2191635,280,1982,246,851574529,513876260,387102,0.603442496810517
169,34.032769664,149498,402099,5703477,238970,5699944,2211617,321,2048,168,851902682,514993187,392062,0.604521147639725
170,34.232962666,143541,390360,5790269,231034,5771847,2278214,303,2111,231,851240154,515011220,389472,0.605012836365799
171,34.433161623,145973,364462,5776102,236341,5820409,2201049,390,1836,117,856127619,515509666,378905,0.602141146435786
172,34.633355221,136373,381533,5661397,258906,5475833,2161536,372,2266,302,848274287,515637704,363664,0.607866714696257
173,34.833546752,138033,366588,5293412,248256,5231840,2062420,333,1985,230,879917867,516071024,359379,0.586499085147
174,35.033755533,140705,353218,5575606,276699,5595512,2164919,377,2091,128,863572118,515399425,362770,0.59682267902957
175,35.233951331,144995,377914,5602640,258703,5574972,2236031,333,2083,206,859177786,514405201,367645,0.598717994554854
176,35.434123846,133984,392645,5179993,408623,5228771,2415406,403,2881,1360,782267779,485280230,372994,0.620350528332319
177,35.634374522,136840,439207,4845560,222194,4739849,1809952,331,2049,1093,757793345,457004712,417621,0.603073007984782
178,35.834571819,130261,436038,4580424,266088,4672023,1829614,469,3208,1810,745304162,456122071,442046,0.611994530898648
179,36.034779319,132865,428068,4565366,395673,4536155,2152169,389,2387,1140,755178920,456870447,410244,0.604983050904016
180,36.235002643,128103,401924,4868260,402674,4851293,2320935,374,2167,750,785931467,474634555,357166,0.603913413483418
181,36.435205239,142355,456339,4881663,260981,4870450,1967811,379,1977,531,746338422,463331922,447336,0.620806739064011
182,36.635412323,116919,370177,4705065,588161,4473184,2753673,344,1676,728,687221319,456355524,355677,0.664059032196584
183,36.835637565,128341,399847,4715810,443052,4607404,2471892,437,2202,512,761100685,457099495,378804,0.60057690658891
184,37.035842977,131144,427799,5022448,264477,4883450,2017236,331,2433,338,800076602,486276077,399178,0.607786899134941
185,37.236039595,130264,362018,5373301,254644,5311994,2088695,357,2160,227,874087267,514105135,374477,0.588162251538667
186,37.436250062,140151,387169,5531783,249394,5444032,2129852,365,2048,43,862390612,515683949,399258,0.597970272199577
187,37.636446912,147914,404058,5394417,260418,5518182,2162217,433,2318,269,828757043,511394651,422664,0.617062208182043
188,37.836660797,141867,361580,5172648,257557,5265195,2053540,381,2239,556,862310430,514917591,375091,0.597137148161365
